name,school,place,category
 Charla Adkison , Kinston High School ," Kinston , Alabama ", 1985 Award | 7-12 Science 
 Vaughan Aandahl , George Washington High School ," Denver , Colorado ", 1983 Award | 7-12 Mathematics 
 Judith Allard , Burlington High School ," Burlington , Vermont ", 1983 Award | 7-12 Science 
 Margaret Andersen , Westfield High School ," Westfield , Massachusetts ", 1983 Award | 7-12 Science 
 Gayle Ater , University Laboratory School ," Baton Rouge , Louisiana ", 1983 Award | 7-12 Science 
 Anne Barefoot , Whiteville High School ," Whiteville , North Carolina ", 1983 Award | 7-12 Science 
 J. Bruce Bauer , Stillwater High School ," Stillwater , Minnesota ", 1983 Award | 7-12 Science 
 Rudy B. Beede , Forrest City School Dist. ," Forrest City , Arkansas ", 1983 Award | 7-12 Mathematics 
 Richard Bell , Turner Middle School ," Lithia Springs , Georgia ", 1983 Award | 7-12 Science 
 Josephine Bennett , Whitehaven High School ," Memphis , Tennessee ", 1983 Award | 7-12 Science 
 C. Diane Bishop , University High School ," Tucson , Arizona ", 1983 Award | 7-12 Mathematics 
 Margaret M. Bondorew , , , 1983 Award | 7-12 Mathematics 
 Andrea Bowden , Forest Park Senior High School ," Baltimore , Maryland ", 1983 Award | 7-12 Science 
 Bill Brent , Rolla Senior High School ," Rolla , Missouri ", 1983 Award | 7-12 Science 
 Carl Bruce , Bonneville High School ," Ogden , Utah ", 1983 Award | 7-12 Science 
 Sharon Kay Carnes , Olpe High School ," Olpe , Kansas ", 1983 Award | 7-12 Mathematics 
 Nancy Cetorelli , Stratford High School ," Stratford , Connecticut ", 1983 Award | 7-12 Mathematics 
 Mary Christian , North Providence High School ," North Providence , Rhode Island ", 1983 Award | 7-12 Science 
 Luz Concepcion de Gaspar , University of Puerto Rico H.S. ," San Juan , Puerto Rico ", 1983 Award | 7-12 Science 
 Edna Hyke Corbett , I. C. Norcom HighSchool ," Portsmouth , Virginia ", 1983 Award | 7-12 Science 
 Clyde L. Corcoran , California High School ," Whittier , California ", 1983 Award | 7-12 Mathematics 
 Catherine Perry Cotten , Columbia High School ," Columbia , Mississippi ", 1983 Award | 7-12 Mathematics 
 Peggy Mullins Coulter , Central High School ," Tuscaloosa , Alabama ", 1983 Award | 7-12 Mathematics 
 Ava Florence Crum , Winfield High School ," Winfield , West Virginia ", 1983 Award | 7-12 Mathematics 
 Ronald Lee Culbertson , Gilman Middle School ," Baltimore , Maryland ", 1983 Award | 7-12 Mathematics 
 Herwood Curtiss , Kearsarge Regional High School ," North Sutton , New Hampshire ", 1983 Award | 7-12 Mathematics 
 Doris Broome DeBoe , Banneker High School ," Washington , District of Columbia ", 1983 Award | 7-12 Mathematics 
 Louis DeVicaris , Cheltenham High School ," Wyncote , Pennsylvania ", 1983 Award | 7-12 Science 
 Sondra Dexter , Wendler Junior High School ," Anchorage , Alaska ", 1983 Award | 7-12 Science 
 Sondra Dexter , Wendler Junior High School ," Anchorage , Alaska ", 1983 Award | 7-12 Science 
 Arthur Farmer , Gunn High School ," Palo Alto , California ", 1983 Award | 7-12 Science 
 Carolyn Farnsworth , Jones Middle School ," Columbus , Ohio ", 1983 Award | 7-12 Science 
 Paul A. Foerster , Alamo Heights High School ," San Antonio , Texas ", 1983 Award | 7-12 Mathematics 
 Helen Foster , Santa Fe High School ," Santa Fe , New Mexico ", 1983 Award | 7-12 Science 
 Patricia Fraze , Huron High School ," Ann Arbor , Michigan ", 1983 Award | 7-12 Mathematics 
 Gary Froelich , Bismarck High School ," Bismarck , North Dakota ", 1983 Award | 7-12 Mathematics 
 Roger D. Fuerstenberg , Sudlow Junior High School ," Davenport , Iowa ", 1983 Award | 7-12 Mathematics 
 Jose L. Garrido-Tobaja , Colegio San Ignacio de Loyola ," Rio Piedras , Puerto Rico ", 1983 Award | 7-12 Mathematics 
 Nancy Nelms Gates , Memphis University School ," Memphis , Tennessee ", 1983 Award | 7-12 Mathematics 
 Mary Gonce , Bradshaw High School ," Florence , Alabama ", 1983 Award | 7-12 Science 
 Joanne H. Greaver , J.M. Atherton High School ," Louisville , Kentucky ", 1983 Award | 7-12 Mathematics 
 Denise Griffiths , Concord High School ," Wilmington , Delaware ", 1983 Award | 7-12 Mathematics 
 Jean Carole Hackett , Hazen Union ," Hardwick , Vermont ", 1983 Award | 7-12 Mathematics 
" George Hague, Jr. ", Bernards High School ," Bernardsville , New Jersey ", 1983 Award | 7-12 Science 
 Charles Hamberg , Adlai E. Stevenson High School ," Prairie View , Illinois ", 1983 Award | 7-12 Mathematics 
 Janet Harris , Cy-Fair High School ," Houston , Texas ", 1983 Award | 7-12 Science 
 Wesley Hedlund , Bangor High School ," Bangor , Maine ", 1983 Award | 7-12 Science 
 Anna Lee Henderson , , , 1983 Award | 7-12 Mathematics 
 Charles Eugene Hobbs , Byng Public School System ," Ada , Oklahoma ", 1983 Award | 7-12 Mathematics 
 Jerry Hong , Blackfoot High School ," Blackfoot , Idaho ", 1983 Award | 7-12 Mathematics 
 Charles Humphries , Buhl School District ," Buhl , Idaho ", 1983 Award | 7-12 Science 
 William Hunt , Mayfield High School ," Mayfield , Ohio ", 1983 Award | 7-12 Mathematics 
 Douglas Jenkins , Warren Central High School ," Bowling Green , Kentucky ", 1983 Award | 7-12 Science 
 David R. Johnson , Nicolet High School ," Glendale , Wisconsin ", 1983 Award | 7-12 Mathematics 
 Barbara Kagan , Moanalua High School ," Honolulu , Hawaii ", 1983 Award | 7-12 Mathematics 
 Alfred Kalfus , Babylon Jr.-Sr. High School ," Babylon , New York ", 1983 Award | 7-12 Mathematics 
 Johanna Killoy , Dreher High School ," Columbia , South Carolina ", 1983 Award | 7-12 Science 
 Arthur Kimura , McKinley High School ," Honolulu , Hawaii ", 1983 Award | 7-12 Science 
 Elizabeth Lashley , D.W. Daniel High School ," Central , South Carolina ", 1983 Award | 7-12 Mathematics 
 Jimmie Lees , Portales High School ," Portales , New Mexico ", 1983 Award | 7-12 Mathematics 
 Gerald Loomer , Rapid City Central High School ," Rapid City , South Dakota ", 1983 Award | 7-12 Science 
 Robert Dale Lovell , North Side High School ," Fort Wayne , Indiana ", 1983 Award | 7-12 Mathematics 
 Larry Luck , North Community High School ," Minneapolis , Minnesota ", 1983 Award | 7-12 Mathematics 
 Cheryl Mason , San Diego State University ," San Diego , California ", 1983 Award | 7-12 Science 
 Sue Ann McGraw , Lake Oswego Senior High School ," Lake Oswego , Oregon ", 1983 Award | 7-12 Mathematics 
 Eleanor Milliken , -retired- ," , New Hampshire ", 1983 Award | 7-12 Science 
 Bess Moffatt , Pascagoula High School ," Pascagoula , Mississippi ", 1983 Award | 7-12 Science 
 Wendell G. Mohling , Shawnee Mission Northwest H.S. ," Shawnee Mission , Kansas ", 1983 Award | 7-12 Science 
 Mary Morrison , Columbia High School ," Maplewood , New Jersey ", 1983 Award | 7-12 Mathematics 
 Edward M. Mueller , Shattuck Junior High School ," Neenah , Wisconsin ", 1983 Award | 7-12 Science 
 James Nelson , Simmons Junior High School ," Aberdeen , South Dakota ", 1983 Award | 7-12 Mathematics 
 Steven Pellegrini , Yerington Intermediate School ," Yerington , Nevada ", 1983 Award | 7-12 Science 
 Ronald Perkins , Greenwich High School ," Greenwich , Connecticut ", 1983 Award | 7-12 Science 
 James Pettigrew , Central High School ," Macon , Georgia ", 1983 Award | 7-12 Mathematics 
 Robert Phipps , Parkersburg South High School ," Parkersburg , West Virginia ", 1983 Award | 7-12 Science 
 Jimmie Pigg , Moore High School ," Moore , Oklahoma ", 1983 Award | 7-12 Science 
 Verna Price , Central Middle School ," Dover , Delaware ", 1983 Award | 7-12 Science 
 JoAnne Rife , Harrison High School ," Harrison , Arkansas ", 1983 Award | 7-12 Science 
 Henry Rosenbaum , Von Steuben Metro Science Center ," Chicago , Illinois ", 1983 Award | 7-12 Science 
 Annette Saturnelli , Marlboro Central High School ," Marlboro , New York ", 1983 Award | 7-12 Science 
 Walter Scheider , Ann Arbor Huron High School ," Ann Arbor , Michigan ", 1983 Award | 7-12 Science 
 Bernie Schnorenberg , Sundance High School ," Sundance , Wyoming ", 1983 Award | 7-12 Mathematics 
 Barbara Schulz , Shorewood High School ," Seattle , Washington ", 1983 Award | 7-12 Science 
 Thomas Sedgwick , Lincoln High School ," Tacoma , Washington ", 1983 Award | 7-12 Mathematics 
 Elizabeth Shelton , Big Horn Jr.-Sr. High School ," Big Horn , Wyoming ", 1983 Award | 7-12 Science 
" John Skrocky, Jr. ", Northweest Senior High School ," Omaha , Nebraska ", 1983 Award | 7-12 Science 
 David Smith , Townsend Junior High School ," Tucson , Arizona ", 1983 Award | 7-12 Science 
 Marcia Steinwand , Robinson Public School ," Robinson , North Dakota ", 1983 Award | 7-12 Science 
 Karen Stiles , Nathan Week Transitional ," Des Moines , Iowa ", 1983 Award | 7-12 Science 
 Frances Stivers , Terry Parker High School ," Jacksonville , Florida ", 1983 Award | 7-12 Science 
 Jacquelyn Stonebraker , Evergreen Junior High School ," Salt Lake City , Utah ", 1983 Award | 7-12 Mathematics 
" Burton W. Stuart, Jr. ", Chapel Hill Senior High School ," Chapel Hill , North Carolina ", 1983 Award | 7-12 Mathematics 
 JoAnne Taber , Gulliver Academy ," Coral Gables , Florida ", 1983 Award | 7-12 Mathematics 
 Akehiko Takahashi , Wentzville High School ," Wentzville , Missouri ", 1983 Award | 7-12 Mathematics 
 Neil Tame , Oxford Hills High School ," South Paris , Maine ", 1983 Award | 7-12 Mathematics 
 Buren Thomas , Lincoln Northeast High School ," Lincoln , Nebraska ", 1983 Award | 7-12 Mathematics 
 George Tinker , Marshfield High School ," Coos Bay , Oregon ", 1983 Award | 7-12 Science 
 Glenda Tinsley , North Junior High School ," Great Falls , Montana ", 1983 Award | 7-12 Mathematics 
 Jacque Treese , Green Oaks High School ," Shreveport , Louisiana ", 1983 Award | 7-12 Mathematics 
 Katie Walker , Howard D. Woodson Senior H.S. ," Washington , District of Columbia ", 1983 Award | 7-12 Science 
 Joyce Weeks , Hampton High School ," Hampton , Virginia ", 1983 Award | 7-12 Mathematics 
 Larry Wilson , Valley High School ," Las Vegas , Nevada ", 1983 Award | 7-12 Mathematics 
 Herbert York , St. Ignatius High School ," St. Ignatius , Montana ", 1983 Award | 7-12 Science 
 Marcelline Zambuco , John F. Deering Middle School ," West Warwick , Rhode Island ", 1983 Award | 7-12 Mathematics 
,,,
 Suzanne Alexander , Central High School-East ," Tuscaloosa , Alabama ", 1988 Award | 7-12 Science 
 Pauline Antons , Midland Community ," Wyoming , Iowa ", 1988 Award | 7-12 Mathematics 
 David Arlander , John Marshall High School ," Rochester , Minnesota ", 1988 Award | 7-12 Science 
 Mary Finley Babb , Liberty High School ," Liberty , South Carolina ", 1988 Award | 7-12 Mathematics 
 Mariah M. Banks , Calvin Coolidge Senior H.S. ," Washington , District of Columbia ", 1988 Award | 7-12 Mathematics 
 Maurice Belanger , Nashua High School ," Nashua , New Hampshire ", 1988 Award | 7-12 Science 
 Jean Boone , M.L. King Jr. Magnet H.S. ," Nashville , Tennessee ", 1988 Award | 7-12 Science 
 Carol Born , Lander Valley High School ," Lander , Wyoming ", 1988 Award | 7-12 Mathematics 
 Darlene I. Boyles , Fairmont Senior High School ," Fairmont , West Virginia ", 1988 Award | 7-12 Mathematics 
 Bonnie Briggs , Creswell High School ," Creswell , Oregon ", 1988 Award | 7-12 Mathematics 
 Dwight Brown , Bountiful High School ," Bountiful , Utah ", 1988 Award | 7-12 Science 
 Richard Bryant , Okmulgee High School ," Okmulgee , Oklahoma ", 1988 Award | 7-12 Science 
 James Bryn , Sparks High School ," Sparks , Nevada ", 1988 Award | 7-12 Science 
 David Byrum , Flowing Wells High School ," Tucson , Arizona ", 1988 Award | 7-12 Science 
 Frank Cardulla , Niles North High School ," Skokie , Illinois ", 1988 Award | 7-12 Science 
 Mark Carle , University School ," Chagrin Falls , Ohio ", 1988 Award | 7-12 Science 
 Elizabeth Chesick , The Baldwin School ," Bryn Mawr , Pennsylvania ", 1988 Award | 7-12 Science 
 Miriam Clifford , Bay View High School ," Milwaukee , Wisconsin ", 1988 Award | 7-12 Mathematics 
 Loring Coes , Rocky Hill School ," East Greenwich , Rhode Island ", 1988 Award | 7-12 Mathematics 
 Jeffrey Cramer , Ronald McNair Senior High Sch. ," Atlanta , Georgia ", 1988 Award | 7-12 Science 
 Georgia E. Cressman , Gauger Middle School ," Newark , Delaware ", 1988 Award | 7-12 Mathematics 
 Joan D'Agostino , Mount Desert Island High Sch. ," Mount Desert , Maine ", 1988 Award | 7-12 Science 
 Philip Dail , Garner Senior High School ," Garner , North Carolina ", 1988 Award | 7-12 Science 
 Mary Lou Derwent , St. Joseph&apos;s High School ," South Bend , Indiana ", 1988 Award | 7-12 Mathematics 
 Walter Dodge , New Trier High School ," Winnetka , Illinois ", 1988 Award | 7-12 Mathematics 
 Patrick Ehrman , A.C. Davis Senior High School ," Yakima , Washington ", 1988 Award | 7-12 Science 
 Nellie Epps , Starkville High School ," Starkville , Mississippi ", 1988 Award | 7-12 Mathematics 
 Claire Evrard , Yarmouth High School ," Yarmouth , Maine ", 1988 Award | 7-12 Mathematics 
 Claudia Fowler , University Laboratory School ," Baton Rouge , Louisiana ", 1988 Award | 7-12 Science 
 Robert Frank , Jefferson Jr. High School ," Caldwell , Idaho ", 1988 Award | 7-12 Science 
 Vicki Fredrickson , Simmons Junior High School ," Aberdeen , South Dakota ", 1988 Award | 7-12 Mathematics 
 Santiago Garcia , St. John&apos;s School ," Santurce , Puerto Rico ", 1988 Award | 7-12 Mathematics 
 Marian Gerst , J.B. Thomas Junior High ," Hillsboro , Oregon ", 1988 Award | 7-12 Science 
 Robert Gerver , North Shore High School ," Glen Head , New York ", 1988 Award | 7-12 Mathematics 
 Alan Gibson , Rochester Adams High School ," Rochester , Michigan ", 1988 Award | 7-12 Science 
 Kimberley Girard , Nashua Public School ," Nashua , Montana ", 1988 Award | 7-12 Mathematics 
 Gladysmae Good , Arlington High School ," Indianapolis , Indiana ", 1988 Award | 7-12 Science 
 Kathleen Goto , Moanalua High School ," Honolulu , Hawaii ", 1988 Award | 7-12 Mathematics 
 Glenn Govertsen , Sentinel High School ," Missoula , Montana ", 1988 Award | 7-12 Science 
 Julianne Green , St. Pius X High School ," Albuquerque , New Mexico ", 1988 Award | 7-12 Science 
 Wallis Green , C.E. Jordan High School ," Durham , North Carolina ", 1988 Award | 7-12 Mathematics 
 Mary Hackler , Capshaw Junior High School ," Santa Fe , New Mexico ", 1988 Award | 7-12 Mathematics 
 Donna Hansen , Putnam City North High School ," Oklahoma City , Oklahoma ", 1988 Award | 7-12 Mathematics 
 Jean Harder , Concord High School ," Wilmington , Delaware ", 1988 Award | 7-12 Science 
 Peggy Harrell , Shades Valley High School ," Birmingham , Alabama ", 1988 Award | 7-12 Mathematics 
 Zoe Harrell , LA State U. Laboratory School ," Baton Rouge , Louisiana ", 1988 Award | 7-12 Mathematics 
 William Harrington , Bowie High School ," Bowie , Maryland ", 1988 Award | 7-12 Science 
 Paul Hickman , Cold Spring Harbor High School ," Cold Spring Harbor , New York ", 1988 Award | 7-12 Science 
 Bruce Hogue , Dunstan Junior High School ," Lakewood , Colorado ", 1988 Award | 7-12 Science 
 Carey S. Inouye , Iolani School ," Honolulu , Hawaii ", 1988 Award | 7-12 Science 
 Harold Jacobs , Ulysses S. Grant High School ," Van Nuys , California ", 1988 Award | 7-12 Mathematics 
 Susan Janosz , Manchester High School West ," Manchester , New Hampshire ", 1988 Award | 7-12 Mathematics 
 H. Jernigan , Shawnee Mission South H.S. ," Overland Park , Kansas ", 1988 Award | 7-12 Science 
 Patsy Johnson , Jumpertown High School ," Booneville , Mississippi ", 1988 Award | 7-12 Science 
 Robert Johnson , West Morris Central High Sch. ," Chester , New Jersey ", 1988 Award | 7-12 Mathematics 
 Richard Kavanaugh , Park Hill R-5 ," Kansas City , Missouri ", 1988 Award | 7-12 Science 
 Shirley Kelly , DuPont High School ," Belle , West Virginia ", 1988 Award | 7-12 Science 
 Nancy Klepper , Clark High School ," San Antonio , Texas ", 1988 Award | 7-12 Science 
 Deodegaria Lacson , Marianas High School ," Saipan , Northern Mariana Islands ", 1988 Award | 7-12 Science 
 James Landherr , Norwich Reg. Voc. Tech. School ," Norwich , Connecticut ", 1988 Award | 7-12 Mathematics 
 Betty Larkin , Educational Consultant ," St. James City , Florida ", 1988 Award | 7-12 Mathematics 
 David Masterman , Jackson Hole High School ," Jackson , Wyoming ", 1988 Award | 7-12 Science 
 Morgan Masters , Chariton Community Schools ," Chariton , Iowa ", 1988 Award | 7-12 Science 
 Eleanor Matsis , North Community High School ," Minneapolis , Minnesota ", 1988 Award | 7-12 Mathematics 
 Deanna M. Mauldin , Liberty Bell Junior High Sch. ," Johnson City , Tennessee ", 1988 Award | 7-12 Mathematics 
 Donna Roth McCarthy , Desert Sky Junior High School ," Glendale , Arizona ", 1988 Award | 7-12 Mathematics 
" Wyatt Y. McDaniel, III ", Spartanburg High School ," Spartanburg , South Carolina ", 1988 Award | 7-12 Science 
 Catherine McDermott , Surrey Public School ," Surrey , North Dakota ", 1988 Award | 7-12 Mathematics 
 James E. McGahan , Northwest High School ," Grand Island , Nebraska ", 1988 Award | 7-12 Science 
 Jack McPike , Riverview Gardens Senior H.S. ," St. Louis , Missouri ", 1988 Award | 7-12 Mathematics 
 Martha E. Meadows , Frederick High School ," Frederick , Maryland ", 1988 Award | 7-12 Mathematics 
 Paul M. Mello , Middletown High School ," Middletown , Rhode Island ", 1988 Award | 7-12 Science 
 Gary Miller , Pocahontas High School ," Pocahontas , Arkansas ", 1988 Award | 7-12 Mathematics 
